Analysis ID,User,Input Text,Result JSON,Summary,Created At,Status,Analysis Type,Key Findings,Tags,Source Reference,Accuracy Rating
1,,,,,3/9/2026 2:58pm,Error,Custom,,"Technology,Other",,
2,,"Klistra in eller skriv en text du vill analysera — ett mail du fått, något en kund sagt, en mening som skavde eller som du vill fördjupa dig i. Analysen identifierar vilka kommunikationsmönster och vilken motivation som finns i texten.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Till"",""bevis"":[""fördjupa dig i"",""identifierar vilka kommunikationsmönster"",""analysen identifierar""],""beskrivning"":""Till-mönstret kännetecknas av att språket rör sig mot mål, resultat och positiva tillstånd. Det här mönstret syns ofta i formuleringar som lyfter fram vad man vill uppnå, skapa eller känna. Personer med Till som mönster tenderar att motiveras av att röra sig mot något önskvärt — snarare än att undvika problem."",""tolkning"":""Texten signalerar tydligt Till-riktning genom att fokusera på vad som ska uppnås och skapas. Formuleringarna som 'fördjupa dig i' och 'identifierar' pekar mot att gå in i något, att upptäcka och att nå kunskap snarare än att undvika problem."",""arbetskontext"":""Med det här mönstret fungerar det bra att fokusera på vad som ska uppnås och vilka resultat som eftersträvas i projekt och uppgifter."",""relationskontext"":""I relationer kan det här mönstret innebära att man föredrar att prata om vad man vill skapa tillsammans snarare än vad man vill undvika.""},{""category"":""Förståelse"",""dominant"":""Alternativ"",""bevis"":[""Klistra in eller skriv"",""ett mail du fått, något en kund sagt, en mening"",""som skavde eller som du vill fördjupa dig i""],""beskrivning"":""Alternativ-mönstret kännetecknas av att språket betonar möjligheter, val och flexibilitet snarare än en fast väg. Det här mönstret syns i formuleringar som öppnar upp, utforskar eller ifrågasätter givna strukturer. Personer med Alternativ som mönster tenderar att trivas med att hitta nya sätt att lösa saker på."",""tolkning"":""Texten signalerar Alternativ genom att erbjuda flera valmöjligheter och använda 'eller'-konstruktioner. Den öppnar upp för olika typer av texter och olika syften, utan att föreskriva en specifik ordning eller process för hur analysen ska gå till."",""arbetskontext"":""Med det här mönstret fungerar det bra att erbjuda flera olika sätt att närma sig en uppgift och ge utrymme för olika lösningsvägar."",""relationskontext"":""I relationer kan det här mönstret innebära att man uppskattar flexibilitet och möjlighet att välja olika sätt att kommunicera eller lösa konflikter på.""}],""rubrik"":""Framåt med valmöjligheter"",""summary"":""En kombination av målriktad energi och flexibel approach — texten strävar framåt mot fördjupad förståelse samtidigt som den erbjuder flera olika vägar dit."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}",En kombination av målriktad energi och flexibel approach — texten strävar framåt mot fördjupad förståelse samtidigt som den erbjuder flera olika vägar dit.,3/11/2026 2:50pm,,,,,,"5,0"
3,,"Klistra in eller skriv en text du vill analysera — ett mail du fått, något en kund sagt, en mening som skavde eller som du vill fördjupa dig i. Analysen identifierar vilka kommunikationsmönster och vilken motivation som finns i texten.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Till"",""bevis"":[""fördjupa dig i"",""identifierar vilka kommunikationsmönster"",""Analysen identifierar""],""beskrivning"":""Till-mönstret kännetecknas av att språket rör sig mot mål, resultat och positiva tillstånd. Det här mönstret syns ofta i formuleringar som lyfter fram vad man vill uppnå, skapa eller känna. Personer med Till som mönster tenderar att motiveras av att röra sig mot något önskvärt — snarare än att undvika problem."",""tolkning"":""Texten signalerar tydligt Till-mönster genom att fokusera på vad man kan uppnå och skapa. Formuleringarna 'fördjupa dig i' och 'identifierar' pekar mot positiva utfall och lärandemöjligheter snarare än problemlösning."",""arbetskontext"":""Med det här mönstret fungerar det bra att presentera möjligheter och fördelar med nya projekt eller initiativ."",""relationskontext"":""I relationer kan det här mönstret innebära att fokus läggs på vad man vill bygga tillsammans snarare än vad som behöver fixas.""},{""category"":""Förståelse"",""dominant"":""Alternativ"",""bevis"":[""något en kund sagt, en mening som skavde eller som du vill fördjupa dig i"",""Klistra in eller skriv""],""beskrivning"":""Alternativ-mönstret kännetecknas av att språket betonar möjligheter, val och flexibilitet snarare än en fast väg. Det här mönstret syns i formuleringar som öppnar upp, utforskar eller ifrågasätter givna strukturer. Personer med Alternativ som mönster tenderar att trivas med att hitta nya sätt att lösa saker på."",""tolkning"":""Texten tyder på Alternativ-mönster genom att erbjuda flera valmöjligheter utan att föreskriva en specifik ordning eller process. Uppräkningen av olika texttyper ('mail du fått, något en kund sagt, en mening') visar öppenhet för variation."",""arbetskontext"":""I arbetet tenderar det här mönstret att fungera bra med flexibla ramverk och verktyg som kan användas på olika sätt."",""relationskontext"":""I relationer kan det här mönstret innebära uppskattning för spontanitet och möjligheten att utforska olika sätt att kommunicera.""}],""rubrik"":""Upptäck dina möjligheter"",""summary"":""Texten kombinerar Till-motivation (rörelse mot förståelse och insikt) med Alternativ-tänkande (flexibilitet i val av material och användning). Detta skapar en inbjudande och öppen kommunikationsstil som fokuserar på vad som kan upptäckas."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}",Texten kombinerar Till-motivation (rörelse mot förståelse och insikt) med Alternativ-tänkande (flexibilitet i val av material och användning). Detta skapar en inbjudande och öppen kommunikationsstil som fokuserar på vad som kan upptäckas.,3/11/2026 2:50pm,,,,,,"2,0"
4,,"Vi investerar miljarder i maskiner, system och artificiell intelligens. Vi bygger algoritmer som lär sig snabbare än vi hinner reflektera. Men mitt i den exponentiella utvecklingen har något stannat upp: den mänskliga.

Vi har aldrig haft mer data – men sällan mindre självinsikt. Vi kan mäta nästan allt – men förstår fortfarande inte fullt ut varför människor gör som de gör.

Vår filosofi utgår från en enkel, men radikal tanke:
Tekniken utvecklar världen. Människan avgör åt vilket håll.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Ifrån"",""bevis"":[""Vi har aldrig haft mer data – men sällan mindre självinsikt"",""Men mitt i den exponentiella utvecklingen har något stannat upp: den mänskliga"",""Vi kan mäta nästan allt – men förstår fortfarande inte fullt ut""],""beskrivning"":""Ifrån-mönstret kännetecknas av att språket rör sig bort från problem, risker och obehagliga tillstånd. Det här mönstret syns i formuleringar som betonar vad man vill slippa, undvika eller lösa. Personer med Ifrån som mönster tenderar att motiveras av att ta sig bort från något otillfredsställande — snarare än att röra sig mot ett mål."",""tolkning"":""Texten signalerar stark Ifrån-motivering genom att konsekvent lyfta fram vad som brister eller saknas. Formuleringarna kontrasterar teknisk framgång mot mänskliga begränsningar, vilket tyder på att motivationen finns i att komma bort från denna diskrepans och bristande förståelse."",""arbetskontext"":""Med det här mönstret fungerar det bra att identifiera problem och ineffektiviteter som behöver åtgärdas, men det kan vara viktigt att också formulera positiva mål att sträva mot."",""relationskontext"":""I relationer kan det här mönstret innebära att man snabbt upptäcker vad som inte fungerar, men det kan behövas medveten ansträngning för att också uttrycka vad man önskar ska växa fram.""},{""category"":""Förståelse"",""dominant"":""Alternativ"",""bevis"":[""en enkel, men radikal tanke"",""Människan avgör åt vilket håll"",""Vi bygger algoritmer som lär sig snabbare än vi hinner reflektera""],""beskrivning"":""Alternativ-mönstret kännetecknas av att språket betonar möjligheter, val och flexibilitet snarare än en fast väg. Det här mönstret syns i formuleringar som öppnar upp, utforskar eller ifrågasätter givna strukturer. Personer med Alternativ som mönster tenderar att trivas med att hitta nya sätt att lösa saker på."",""tolkning"":""Texten signalerar Alternativ genom att presentera en konceptuell idé som utmanar etablerade synsätt. Formuleringen om att 'människan avgör åt vilket håll' öppnar upp för multiple möjligheter snarare än att föreskriva en specifik procedur eller metod."",""arbetskontext"":""Med det här mönstret fungerar det bra att arbeta med stora visioner och konceptuell utveckling, där kreativitet och nya perspektiv värdesätts högt."",""relationskontext"":""I relationer kan det här mönstret innebära att man uppskattar diskussioner om idéer och möjligheter, och att man föredrar flexibilitet framför fasta rutiner.""}],""rubrik"":""Bort från begränsning — valet är vårt"",""summary"":""Ett mönster som identifierar brister i nuvarande tillstånd (Ifrån) och öppnar upp för nya möjligheter och riktningar (Alternativ). Kombinationen skapar en filosofisk ansats som både kritiserar det befintliga och erbjuder flexibla alternativ."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}",Ett mönster som identifierar brister i nuvarande tillstånd (Ifrån) och öppnar upp för nya möjligheter och riktningar (Alternativ). Kombinationen skapar en filosofisk ansats som både kritiserar det befintliga och erbjuder flexibla alternativ.,3/11/2026 3:22pm,,,,,,
5,,"Vi investerar miljarder i maskiner, system och artificiell intelligens. Vi bygger algoritmer som lär sig snabbare än vi hinner reflektera. Men mitt i den exponentiella utvecklingen har något stannat upp: den mänskliga.

Vi har aldrig haft mer data – men sällan mindre självinsikt. Vi kan mäta nästan allt – men förstår fortfarande inte fullt ut varför människor gör som de gör.

Vår filosofi utgår från en enkel, men radikal tanke:
Tekniken utvecklar världen. Människan avgör åt vilket håll.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Ifrån"",""bevis"":[""Vi har aldrig haft mer data – men sällan mindre självinsikt"",""Vi kan mäta nästan allt – men förstår fortfarande inte fullt ut"",""mitt i den exponentiella utvecklingen har något stannat upp""],""beskrivning"":""Ifrån-mönstret kännetecknas av att språket rör sig bort från problem, risker och obehagliga tillstånd. Det här mönstret syns i formuleringar som betonar vad man vill slippa, undvika eller lösa. Personer med Ifrån som mönster tenderar att motiveras av att ta sig bort från något otillfredsställande — snarare än att röra sig mot ett mål."",""tolkning"":""Texten signalerar tydligt Ifrån genom att konstant peka på vad som inte fungerar: bristen på självinsikt trots data, oförmågan att förstå mänskligt beteende trots mätmöjligheter, och det mänskliga som 'stannat upp'. Formuleringarna rör sig bort från dessa problem snarare än mot en specifik vision."",""arbetskontext"":""Med det här mönstret fungerar det bra att börja med att identifiera vad som inte fungerar idag innan man presenterar lösningar."",""relationskontext"":""I relationer kan det här mönstret innebära att problem och brister lyfts fram som startpunkt för förändring snarare än drömmar om framtiden.""},{""category"":""Förståelse"",""dominant"":""Alternativ"",""bevis"":[""Tekniken utvecklar världen. Människan avgör åt vilket håll"",""en enkel, men radikal tanke"",""Vi investerar miljarder i maskiner, system och artificiell intelligens""],""beskrivning"":""Alternativ-mönstret kännetecknas av att språket betonar möjligheter, val och flexibilitet snarare än en fast väg. Det här mönstret syns i formuleringar som öppnar upp, utforskar eller ifrågasätter givna strukturer. Personer med Alternativ som mönster tenderar att trivas med att hitta nya sätt att lösa saker på."",""tolkning"":""Texten signalerar Alternativ genom att presentera en filosofisk reflektion som öppnar för olika tolkningar och riktningar. Formuleringen 'människan avgör åt vilket håll' betonar valmöjligheter snarare än en specifik process eller stegvis metod."",""arbetskontext"":""Med det här mönstret fungerar det bra att presentera övergripande perspektiv och låta mottagaren själv fylla i detaljerna för hur det ska genomföras."",""relationskontext"":""I relationer kan det här mönstret innebära att stora frågor och filosofiska perspektiv diskuteras utan att man fastnar i konkreta handlingsplaner.""}],""rubrik"":""Bort från teknikblindhet"",""summary"":""Ett Ifrån-drivet Alternativ-mönster som identifierar brister i vår teknologiska utveckling och öppnar för filosofiska reflektioner om människans roll, utan att ge konkreta steg framåt."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}","Ett Ifrån-drivet Alternativ-mönster som identifierar brister i vår teknologiska utveckling och öppnar för filosofiska reflektioner om människans roll, utan att ge konkreta steg framåt.",3/11/2026 3:24pm,,,,,,
6,,"Vi investerar miljarder i maskiner, system och artificiell intelligens. Vi bygger algoritmer som lär sig snabbare än vi hinner reflektera. Men mitt i den exponentiella utvecklingen har något stannat upp: den mänskliga.

Vi har aldrig haft mer data – men sällan mindre självinsikt. Vi kan mäta nästan allt – men förstår fortfarande inte fullt ut varför människor gör som de gör.

Vår filosofi utgår från en enkel, men radikal tanke:
Tekniken utvecklar världen. Människan avgör åt vilket håll.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Ifrån"",""bevis"":[""Vi har aldrig haft mer data – men sällan mindre självinsikt"",""Men mitt i den exponentiella utvecklingen har något stannat upp"",""Vi kan mäta nästan allt – men förstår fortfarande inte fullt ut""],""beskrivning"":""Ifrån-mönstret kännetecknas av att språket rör sig bort från problem, brister och otillfredsställande tillstånd. Det här mönstret syns i formuleringar som betonar vad som saknas, vad som inte fungerar eller vad man vill komma bort ifrån. Personer med Ifrån som mönster tenderar att motiveras av att identifiera och lösa problem snarare än att enbart fokusera på positiva mål."",""tolkning"":""Texten signalerar ett starkt Ifrån-mönster genom att konsekvent peka på brister och paradoxer: teknisk utveckling kontra stillastående mänsklig utveckling, mer data men mindre självinsikt. Språket struktureras kring vad som saknas och behöver åtgärdas."",""arbetskontext"":""Med det här mönstret fungerar det bra att vara problemlösare och kvalitetsgranskare, då det ger energi att identifiera brister och hitta vägar bort från dysfunktionella tillstånd."",""relationskontext"":""I relationer kan det här mönstret innebära en tendens att uppmärksamma vad som inte fungerar, vilket kan vara värdefullt för utveckling men behöver balanseras med uppskattning av det som är bra.""},{""category"":""Förståelse"",""dominant"":""Alternativ"",""bevis"":[""Tekniken utvecklar världen. Människan avgör åt vilket håll"",""en enkel, men radikal tanke"",""Vi investerar miljarder i maskiner, system och artificiell intelligens""],""beskrivning"":""Alternativ-mönstret kännetecknas av att språket betonar möjligheter, val och olika perspektiv snarare än en fast väg framåt. Det här mönstret syns i formuleringar som öppnar upp för reflektion, ifrågasätter givna strukturer och presenterar kontrasterande synsätt. Texten signalerar Alternativ genom att presentera olika utvecklingsriktningar och belysa komplexiteten i teknisk versus mänsklig utveckling."",""tolkning"":""Texten signalerar Alternativ genom att presentera motsatspar och olika utvecklingsvägar utan att föreskriva en specifik procedur. Den filosofiska ansatsen och de öppna jämförelserna tyder på ett mönster som värdesätter reflektion och mångsidiga perspektiv."",""arbetskontext"":""Med det här mönstret fungerar det bra att arbeta med strategisk reflektion och koncepuell utveckling, där förmågan att se olika perspektiv och ifrågasätta rådande strukturer är värdefull."",""relationskontext"":""I relationer kan det här mönstret innebära en tendens att vilja diskutera och utforska olika synsätt, vilket skapar djup men ibland kan upplevas som teoretiskt av mer handlingsorienterade personer.""}],""rubrik"":""Bort från myten om framsteg"",""summary"":""Ett Ifrån-Alternativ mönster som identifierar brister i rådande utvecklingsparadigm och öppnar för reflektion kring alternativa vägar framåt, där den mänskliga dimensionen får större betydelse."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}","Ett Ifrån-Alternativ mönster som identifierar brister i rådande utvecklingsparadigm och öppnar för reflektion kring alternativa vägar framåt, där den mänskliga dimensionen får större betydelse.",3/11/2026 3:25pm,,,,,,
7,,"Vi investerar miljarder i maskiner, system och artificiell intelligens. Vi bygger algoritmer som lär sig snabbare än vi hinner reflektera. Men mitt i den exponentiella utvecklingen har något stannat upp: den mänskliga.

Vi har aldrig haft mer data – men sällan mindre självinsikt. Vi kan mäta nästan allt – men förstår fortfarande inte fullt ut varför människor gör som de gör.

Vår filosofi utgår från en enkel, men radikal tanke:
Tekniken utvecklar världen. Människan avgör åt vilket håll.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Ifrån"",""bevis"":[""Vi har aldrig haft mer data – men sällan mindre självinsikt"",""Men mitt i den exponentiella utvecklingen har något stannat upp"",""förstår fortfarande inte fullt ut varför människor gör som de gör""],""beskrivning"":""Ifrån-mönstret kännetecknas av att språket rör sig bort från problem, risker och obehagliga tillstånd. Det här mönstret syns i formuleringar som betonar vad man vill slippa, undvika eller lösa. Personer med Ifrån som mönster tenderar att motiveras av att ta sig bort från något otillfredsställande — snarare än att röra sig mot ett mål."",""tolkning"":""Texten signalerar en stark medvetenhet om problem och brister i nuvarande tillstånd. Språket identifierar systematiskt vad som saknas eller inte fungerar — från den 'stoppade' mänskliga utvecklingen till bristen på självinsikt trots all data. Detta tyder på en motivation som drivs av att lösa identifierade problem snarare än att sträva mot ett specifikt positivt mål."",""arbetskontext"":""Med det här mönstret fungerar det bra att tydligt identifiera och artikulera problem innan lösningar presenteras, då det skapar stark motivation för förändring."",""relationskontext"":""I relationer kan det här mönstret innebära en tendens att fokusera på vad som behöver förbättras, vilket kan vara värdefullt men kräver balans för att inte kännas kritiskt.""},{""category"":""Förståelse"",""dominant"":""Procedur"",""bevis"":[""Tekniken utvecklar världen. Människan avgör åt vilket håll"",""Vår filosofi utgår från en enkel, men radikal tanke"",""Vi investerar miljarder i maskiner, system och artificiell intelligens""],""beskrivning"":""Procedur-mönstret kännetecknas av att språket organiseras kring specifika orsaker, steg och syfte. Det här mönstret syns i formuleringar som förklarar varför något görs eller hur det ska gå till. Personer med Procedur som mönster tenderar att föredra tydliga processer och väldefinierade vägar framåt."",""tolkning"":""Texten signalerar en tydlig orsak-verkan-struktur där teknisk utveckling beskrivs som en process med konsekvenser, och där mänsklig påverkan presenteras som det avgörande elementet. Filosofin presenteras som en logisk grund för handling, vilket tyder på en strukturerad approach till problemlösning."",""arbetskontext"":""Med det här mönstret fungerar det bra att presentera tydliga kopplingar mellan orsak och verkan, samt att förankra beslut i en klar filosofi eller strategi."",""relationskontext"":""I relationer kan det här mönstret innebära en preferens för att förstå 'varför' bakom handlingar och att bygga gemensamma värderingar som grund för beslut.""}],""rubrik"":""Bort från kaos genom reflektion"",""summary"":""Kombinationen av Ifrån och Procedur skapar en analytisk approach som identifierar problem systematiskt och söker strukturerade lösningar baserade på tydliga principer."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}",Kombinationen av Ifrån och Procedur skapar en analytisk approach som identifierar problem systematiskt och söker strukturerade lösningar baserade på tydliga principer.,3/11/2026 3:26pm,,,,,,
8,,"Vi investerar miljarder i maskiner, system och artificiell intelligens. Vi bygger algoritmer som lär sig snabbare än vi hinner reflektera. Men mitt i den exponentiella utvecklingen har något stannat upp: den mänskliga.

Vi utvecklar människor så att organisationer kan utvecklas. Genom att göra strategi till transformation, insikt till beteende och ord till handling skapar vi verklig förändring.

Holmberg & friends är ett svenskt utvecklingsföretag utvecklingsföretag – inte bara ett utbildningsföretag. Vi arbetar med förflyttning i organisationer genom ledarskap som bär ansvar, riktning och mening i vardagen. Det är så vi skapar hållbar utveckling som märks i både människor och resultat.

Vårt arbete förenar affärsnytta med mänsklig utveckling och bygger på samspelet mellan affär, kultur och psykologi. Vår filosofi är enkel men konsekvent: världen förändras inte av strategier, utan av människor.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Till"",""bevis"":[""skapar vi verklig förändring"",""Vi utvecklar människor så att organisationer kan utvecklas"",""Det är så vi skapar hållbar utveckling som märks i både människor och resultat"",""Vi arbetar med förflyttning i organisationer genom ledarskap som bär ansvar, riktning och mening""],""beskrivning"":""Till-mönstret kännetecknas av att språket rör sig mot mål, resultat och positiva tillstånd. Det här mönstret syns ofta i formuleringar som lyfter fram vad man vill uppnå, skapa eller känna. Personer med Till som mönster tenderar att motiveras av att röra sig mot något önskvärt — snarare än att undvika problem."",""tolkning"":""Texten signalerar en stark Till-riktning genom att konsekvent fokusera på vad som ska skapas och uppnås: verklig förändring, utveckling och förflyttning. Språket är framåtriktat och målinriktat, med betoning på positiva utfall snarare än problem som ska undvikas."",""arbetskontext"":""Med det här mönstret fungerar det bra att formulera tydliga mål och visioner som inspirerar till framsteg och utveckling."",""relationskontext"":""I relationer kan det här mönstret innebära att fokus läggs på att bygga något tillsammans och röra sig mot gemensamma mål.""},{""category"":""Förståelse"",""dominant"":""Procedur"",""bevis"":[""Genom att göra strategi till transformation, insikt till beteende och ord till handling"",""Vi arbetar med förflyttning i organisationer genom ledarskap som bär ansvar, riktning och mening"",""Det är så vi skapar hållbar utveckling"",""bygger på samspelet mellan affär, kultur och psykologi""],""beskrivning"":""Procedur-mönstret kännetecknas av att språket organiseras kring specifika orsaker, steg och syfte. Det här mönstret syns i formuleringar som förklarar varför något görs eller hur det ska gå till. Personer med Procedur som mönster tenderar att föredra tydliga processer och väldefinierade vägar framåt."",""tolkning"":""Texten signalerar Procedur genom att systematiskt förklara hur utveckling sker: genom specifika steg från strategi till transformation, från insikt till beteende. Det finns en tydlig orsak-verkan-struktur som beskriver både metoden och syftet."",""arbetskontext"":""I arbetet tenderar det här mönstret att skapa tydlighet kring processer och hur olika steg leder till önskade resultat."",""relationskontext"":""I relationer kan det här mönstret innebära att man gärna förklarar sammanhang och hur saker hänger ihop för att skapa förståelse.""}],""rubrik"":""Framåt genom struktur"",""summary"":""En kombination av målorienterad energi (Till) och systematisk förståelse (Procedur) som skapar förändring genom tydliga processer och väldefinierade steg framåt."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}",En kombination av målorienterad energi (Till) och systematisk förståelse (Procedur) som skapar förändring genom tydliga processer och väldefinierade steg framåt.,3/11/2026 3:27pm,,,,,,
9,,"Här kommer Pippi Långstrump
Tjolahopp tjolahej tjolahoppsan sa
Här kommer Pippi Långstrump
Ja här kommer faktiskt jag
Har du sett min apa
Min söta fina lilla apa
Har du sett Herr Nilsson
Ja han heter faktiskt så
Har du sett min villa
Min Villa Villekulla villa
Vill å vill du veta
Varför villan heter så","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Till"",""bevis"":[""Här kommer Pippi Långstrump"",""Ja här kommer faktiskt jag"",""Min söta fina lilla apa"",""Vill å vill du veta""],""beskrivning"":""Till-mönstret kännetecknas av att språket rör sig mot mål, resultat och positiva tillstånd. Det här mönstret syns ofta i formuleringar som lyfter fram vad man vill uppnå, skapa eller känna. Personer med Till som mönster tenderar att motiveras av att röra sig mot något önskvärt — snarare än att undvika problem."",""tolkning"":""Texten signalerar stark Till-riktning genom att konsekvent röra sig mot positiva presentationer och upplevelser. Språket bjuder in ('här kommer'), visar upp stolt ('min söta fina') och söker kontakt ('vill du veta'). Allt fokuserar på att nå fram till lyssnaren med glädje och energi."",""arbetskontext"":""Med det här mönstret fungerar det bra att fokusera på vad som ska uppnås och vilka positiva resultat arbetet leder till."",""relationskontext"":""I relationer kan det här mönstret innebära att kommunikationen ofta handlar om att dela glädje och skapa positiva upplevelser tillsammans.""},{""category"":""Förståelse"",""dominant"":""Alternativ"",""bevis"":[""Tjolahopp tjolahej tjolahoppsan sa"",""Har du sett min apa"",""Har du sett Herr Nilsson"",""Har du sett min villa"",""Vill å vill du veta""],""beskrivning"":""Alternativ-mönstret kännetecknas av att språket betonar möjligheter, val och flexibilitet snarare än en fast väg. Det här mönstret syns i formuleringar som öppnar upp, utforskar eller ifrågasätter givna strukturer. Personer med Alternativ som mönster tenderar att trivas med att hitta nya sätt att lösa saker på."",""tolkning"":""Texten signalerar Alternativ genom den lekfulla strukturen med upprepade frågor som öppnar för olika upptäckter. Istället för att följa en logisk ordning hoppar språket mellan olika element (apa, villa, namn) och använder kreativa ljudkombinationer som skapar alternativa sätt att uttrycka sig."",""arbetskontext"":""Med det här mönstret fungerar det bra att ge utrymme för kreativitet och olika sätt att närma sig uppgifter."",""relationskontext"":""I relationer kan det här mönstret innebära att kommunikationen ofta är lekfull och utforskande, med fokus på att upptäcka nya sidor hos varandra.""}],""rubrik"":""Glädje hoppar fritt"",""summary"":""En kombination av stark målriktning mot positiva upplevelser (Till) med en lekfull, utforskande kommunikationsstil (Alternativ). Språket rör sig mot glädje och kontakt, men gör det på ett kreativt och flexibelt sätt."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}","En kombination av stark målriktning mot positiva upplevelser (Till) med en lekfull, utforskande kommunikationsstil (Alternativ). Språket rör sig mot glädje och kontakt, men gör det på ett kreativt och flexibelt sätt.",3/11/2026 3:29pm,,,,,,
10,,"Klistra in eller skriv en text du vill analysera — ett mail du fått, något en kund sagt, en mening som skavde eller som du vill fördjupa dig i. Analysen identifierar vilka kommunikationsmönster och vilken motivation som finns i texten.","{""patterns"":[{""category"":""Motivationsriktning"",""dominant"":""Till"",""bevis"":[""analysera språkmönstren"",""identifierar vilka kommunikationsmönster"",""fördjupa dig i""],""beskrivning"":""Till-mönstret kännetecknas av att språket rör sig mot mål, resultat och positiva tillstånd. Det här mönstret syns ofta i formuleringar som lyfter fram vad man vill uppnå, skapa eller känna. Personer med Till som mönster tenderar att motiveras av att röra sig mot något önskvärt — snarare än att undvika problem."",""tolkning"":""Texten signalerar en tydlig Till-riktning genom språk som rör sig mot insikt och förståelse. Formuleringarna 'analysera', 'identifierar' och 'fördjupa dig i' tyder på en rörelse mot kunskap och klarhet snarare än bort från problem."",""arbetskontext"":""Med det här mönstret fungerar det bra att presentera möjligheter och positiva utfall när man kommunicerar uppdrag eller förändringar."",""relationskontext"":""I relationer kan det här mönstret innebära att fokus läggs på vad man vill bygga tillsammans snarare än vad man vill undvika.""},{""category"":""Förståelse"",""dominant"":""Alternativ"",""bevis"":[""Klistra in eller skriv"",""ett mail du fått, något en kund sagt, en mening"",""vilka kommunikationsmönster och vilken motivation""],""beskrivning"":""Alternativ-mönstret kännetecknas av att språket betonar möjligheter, val och flexibilitet snarare än en fast väg. Det här mönstret syns i formuleringar som öppnar upp, utforskar eller ifrågasätter givna strukturer. Personer med Alternativ som mönster tenderar att trivas med att hitta nya sätt att lösa saker på."",""tolkning"":""Texten signalerar Alternativ genom att erbjuda flera olika ingångar och exempel på vad som kan analyseras. Språket öppnar upp för olika möjligheter snarare än att ange en specifik procedur eller orsak."",""arbetskontext"":""Med det här mönstret fungerar det bra att ge utrymme för kreativitet och olika lösningsvägar i projektbeskrivningar."",""relationskontext"":""I relationer kan det här mönstret innebära att man uppskattar när den andra personen ger flera alternativ att välja mellan.""}],""rubrik"":""Upptäck vad som finns"",""summary"":""En kombination av Till-motivation och Alternativ-förståelse som skapar ett språk präglat av nyfikenhet och öppna möjligheter. Texten rör sig mot insikt och erbjuder flexibla vägar dit."",""note"":""Språkmönster beskriver hur språket används i detta sammanhang, inte fasta egenskaper hos personen.""}",En kombination av Till-motivation och Alternativ-förståelse som skapar ett språk präglat av nyfikenhet och öppna möjligheter. Texten rör sig mot insikt och erbjuder flexibla vägar dit.,3/11/2026 4:04pm,,,,,,"4,0"
