Session ID,User,Email,Module Type,Created At,Source,Session Key,Exercise Attempts
1,,,training,3/9/2026 2:54pm,api,,
2,,,text_analysis,3/9/2026 8:05pm,web,284a3962-ead4-4f1d-b44d-f197ab1fc1ff,
3,,,profile,3/9/2026 8:06pm,web,c2fb2e7a-ac0a-4799-82a1-40f0a93f1d3a,
4,,,training,3/9/2026 8:07pm,web,d804bfd8-254a-4b4d-bf4e-dc04c24d0c5e,
5,,,training,3/9/2026 8:07pm,web,ccdda71f-88d8-4c50-8d52-4fad0988df67,
6,,,training,3/9/2026 8:07pm,web,b671c6d8-0d83-40a7-8a74-82ef7cbb7278,
7,,,training,3/9/2026 8:07pm,web,c3253def-3fc2-4a64-8430-dd417a5a4e3f,
8,,,training,3/9/2026 8:07pm,web,d7faf25d-ade3-4347-82e4-46d347cd1fdd,
9,,,training,3/9/2026 8:07pm,web,6fe1fea8-91f9-4d17-8b64-833d7eff223f,
10,,,training,3/9/2026 8:08pm,web,22a97bce-4aad-44b7-a4c0-590698d8cdc6,
11,,,text_analysis,3/9/2026 8:28pm,web,77b130cd-fcd2-4683-ba1c-ca0bae7a88d8,
12,,,training,3/9/2026 8:32pm,web,323b370c-8ee8-47a1-82d8-8a668147bb09,
13,,,training,3/9/2026 8:33pm,web,6eed3e7b-79a3-48fa-b563-f64da901f0d2,
14,,,training,3/9/2026 8:33pm,web,cf2d3386-a042-4c9f-95a9-e829dc7df736,
15,,,training,3/9/2026 8:33pm,web,f93084cd-37c0-4afd-8042-b78302934e28,
16,,,training,3/9/2026 8:33pm,web,ad9f0bfa-49ae-4f31-9fee-537cdad740d6,
17,,,training,3/9/2026 8:33pm,web,7ef5cd00-23e1-40ac-b24d-269f84e31671,
18,,,training,3/9/2026 8:33pm,web,3f6fab5f-3d3c-42f3-a091-b3c4039765db,
19,,,training,3/9/2026 8:34pm,web,101c9b45-3c47-4c13-8ef2-069e88cd58d6,
20,,,text_analysis,3/9/2026 8:34pm,web,8d1f54fe-97e2-4a8b-be7e-138583050800,
21,,,text_analysis,3/10/2026 9:59am,web,7f93b07c-013c-470b-ae7d-111a52efb66e,
22,,,text_analysis,3/10/2026 9:59am,web,ddebc6f2-61ea-428f-861a-c538e49fe2e5,
23,,,text_analysis,3/10/2026 9:59am,web,00131de6-2ca3-4395-ab0b-6038f3da17eb,
24,,,text_analysis,3/10/2026 10:00am,web,b35a17ab-afb3-42ba-acab-e02d859a7e57,
25,,,text_analysis,3/10/2026 10:01am,web,ab363b5a-f692-4797-b5e5-d5b29547b26b,
26,,,text_analysis,3/10/2026 10:01am,web,e05d733c-dbe3-40bb-b04a-810221f31b5b,
27,,,text_analysis,3/10/2026 10:01am,web,0140d42d-0ffd-4e5e-b009-c19fea8c8ec6,
28,,,profile,3/10/2026 10:06am,web,545c2f4e-4b4f-4769-9deb-2a0921c79ee7,
29,,,profile,3/10/2026 10:07am,web,c80d5358-c2da-4f3d-b915-0436668dc71e,
30,,,training,3/10/2026 10:07am,web,6bb22def-7087-4b90-a0e5-13bd97278a48,
31,,,training,3/10/2026 10:07am,web,f057e5ae-5b12-49f0-87b2-e5c6e14a235f,
32,,,training,3/10/2026 10:08am,web,3a4e480f-a8c2-4fe5-aa15-be6366be0445,
33,,,training,3/10/2026 10:09am,web,4a7dbc98-753d-4083-9dbb-fecfc3b1249e,
34,,,training,3/10/2026 10:10am,web,a8860f0b-f926-42c6-a58a-51ce2cbb349c,
35,,,training,3/10/2026 10:12am,web,53c36201-6f0c-4ca3-b4f1-e70ea6ced257,
36,,,training,3/10/2026 10:13am,web,ffe193ff-7dec-4609-b63f-50c0edd5e15e,
37,,,training,3/10/2026 10:13am,web,b8bf658e-8fd4-4bbd-b061-2004ba0c3ea6,
38,,,profile,3/10/2026 10:14am,web,e8b57eed-51b7-42c8-908c-d28d5a1bafc7,
39,,,training,3/10/2026 10:14am,web,417ce185-b15f-4782-ac4f-18ebf7f9fb06,
40,,,training,3/10/2026 10:15am,web,3563f0ab-0fb4-4c99-a44e-0d851c6596bf,
41,,,training,3/10/2026 10:16am,web,07ec35b3-65c5-4df3-b599-69c49bbe37b1,
42,,,training,3/10/2026 10:16am,web,f257c134-5144-4954-aba1-acf98e102238,
43,,,training,3/10/2026 10:17am,web,64bcd75e-db21-41fe-8ae8-bbc811a2103a,
44,,,training,3/10/2026 4:32pm,web,e4154f18-1273-4c27-bf11-0a27bcdebec5,
45,,,training,3/10/2026 6:38pm,web,6f8d4711-805e-47f8-97aa-94c62c449066,
46,,,training,3/10/2026 6:38pm,web,e23517fa-ef8f-48bc-9f31-b3c312e4281b,
47,,,training,3/10/2026 6:39pm,web,4fb13bf3-e962-4de2-83ae-34d9ab3d46cf,
48,,,training,3/10/2026 6:39pm,web,b60c72e0-a872-429c-9be5-92bb56e08c88,
49,,,training,3/10/2026 6:39pm,web,3e284728-6f53-45c6-a511-32a553265cef,
